Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,TB,Rotation,Comment
D22_64,D1608[0603]S,46.6974mm,63.0244mm,46.6974mm,63.0244mm,47.2277mm,63.5547mm,T,225,LED
D23_64,D1608[0603]S,48.6786mm,63.0244mm,48.6786mm,63.0244mm,49.2089mm,63.5547mm,T,225,LED
D24_64,D1608[0603]S,50.6598mm,63.0244mm,50.6598mm,63.0244mm,51.1901mm,63.5547mm,T,225,LED
D25_64,D1608[0603]S,52.641mm,63.0244mm,52.641mm,63.0244mm,53.1713mm,63.5547mm,T,225,LED
D26_64,D1608[0603]S,54.6222mm,63.0244mm,54.6222mm,63.0244mm,55.1525mm,63.5547mm,T,225,LED
D27_64,D1608[0603]S,56.6034mm,63.0244mm,56.6034mm,63.0244mm,57.1337mm,63.5547mm,T,225,LED
D28_64,D1608[0603]S,58.5846mm,63.0244mm,58.5846mm,63.0244mm,59.1149mm,63.5547mm,T,225,LED
D29_64,D1608[0603]S,60.5658mm,63.0244mm,60.5658mm,63.0244mm,61.0961mm,63.5547mm,T,225,LED
D30_64,D1608[0603]S,62.547mm,63.0244mm,62.547mm,63.0244mm,63.0773mm,63.5547mm,T,225,LED
D31_64,D1608[0603]S,64.5282mm,63.0244mm,64.5282mm,63.0244mm,65.0585mm,63.5547mm,T,225,LED
D32_64,D1608[0603]S,66.5094mm,63.0244mm,66.5094mm,63.0244mm,67.0397mm,63.5547mm,T,225,LED
D33_64,D1608[0603]S,68.4906mm,63.0244mm,68.4906mm,63.0244mm,69.0209mm,63.5547mm,T,225,LED
D34_64,D1608[0603]S,70.4718mm,63.0244mm,70.4718mm,63.0244mm,71.0021mm,63.5547mm,T,225,LED
D35_64,D1608[0603]S,72.453mm,63.0244mm,72.453mm,63.0244mm,72.9833mm,63.5547mm,T,225,LED
D36_64,D1608[0603]S,74.4342mm,63.0244mm,74.4342mm,63.0244mm,74.9645mm,63.5547mm,T,225,LED
D37_64,D1608[0603]S,76.4154mm,63.0244mm,76.4154mm,63.0244mm,76.9457mm,63.5547mm,T,225,LED
D38_64,D1608[0603]S,78.3966mm,63.0244mm,78.3966mm,63.0244mm,78.9269mm,63.5547mm,T,225,LED
D39_64,D1608[0603]S,80.3778mm,63.0244mm,80.3778mm,63.0244mm,80.9081mm,63.5547mm,T,225,LED
D40_64,D1608[0603]S,82.359mm,63.0244mm,82.359mm,63.0244mm,82.8893mm,63.5547mm,T,225,LED
D41_64,D1608[0603]S,84.3402mm,63.0244mm,84.3402mm,63.0244mm,84.8705mm,63.5547mm,T,225,LED
D42_64,D1608[0603]S,86.3214mm,63.0244mm,86.3214mm,63.0244mm,86.8517mm,63.5547mm,T,225,LED
D43_64,D1608[0603]S,88.3026mm,63.0244mm,88.3026mm,63.0244mm,88.8329mm,63.5547mm,T,225,LED
