Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,TB,Rotation,Comment
D54_50,D1608[0603]S,110.0958mm,90.7612mm,110.0958mm,90.7612mm,110.6261mm,91.2915mm,T,225,LED
D55_50,D1608[0603]S,112.077mm,90.7612mm,112.077mm,90.7612mm,112.6073mm,91.2915mm,T,225,LED
D56_50,D1608[0603]S,114.0582mm,90.7612mm,114.0582mm,90.7612mm,114.5885mm,91.2915mm,T,225,LED
D57_50,D1608[0603]S,116.0394mm,90.7612mm,116.0394mm,90.7612mm,116.5697mm,91.2915mm,T,225,LED
D58_50,D1608[0603]S,118.0206mm,90.7612mm,118.0206mm,90.7612mm,118.5509mm,91.2915mm,T,225,LED
D59_50,D1608[0603]S,120.0018mm,90.7612mm,120.0018mm,90.7612mm,120.5321mm,91.2915mm,T,225,LED
D60_50,D1608[0603]S,121.983mm,90.7612mm,121.983mm,90.7612mm,122.5133mm,91.2915mm,T,225,LED
D61_50,D1608[0603]S,123.9642mm,90.7612mm,123.9642mm,90.7612mm,124.4945mm,91.2915mm,T,225,LED
D62_50,D1608[0603]S,125.9454mm,90.7612mm,125.9454mm,90.7612mm,126.4757mm,91.2915mm,T,225,LED
D63_50,D1608[0603]S,127.9266mm,90.7612mm,127.9266mm,90.7612mm,128.4569mm,91.2915mm,T,225,LED
D64_50,D1608[0603]S,129.9078mm,90.7612mm,129.9078mm,90.7612mm,130.4381mm,91.2915mm,T,225,LED
D1_49,D1608[0603]S,5.0922mm,92.7424mm,5.0922mm,92.7424mm,5.6225mm,93.2727mm,T,225,LED
D2_49,D1608[0603]S,7.0734mm,92.7424mm,7.0734mm,92.7424mm,7.6037mm,93.2727mm,T,225,LED
D3_49,D1608[0603]S,9.0546mm,92.7424mm,9.0546mm,92.7424mm,9.5849mm,93.2727mm,T,225,LED
D4_49,D1608[0603]S,11.0358mm,92.7424mm,11.0358mm,92.7424mm,11.5661mm,93.2727mm,T,225,LED
D5_49,D1608[0603]S,13.017mm,92.7424mm,13.017mm,92.7424mm,13.5473mm,93.2727mm,T,225,LED
D6_49,D1608[0603]S,14.9982mm,92.7424mm,14.9982mm,92.7424mm,15.5285mm,93.2727mm,T,225,LED
D7_49,D1608[0603]S,16.9794mm,92.7424mm,16.9794mm,92.7424mm,17.5097mm,93.2727mm,T,225,LED
D8_49,D1608[0603]S,18.9606mm,92.7424mm,18.9606mm,92.7424mm,19.4909mm,93.2727mm,T,225,LED
D9_49,D1608[0603]S,20.9418mm,92.7424mm,20.9418mm,92.7424mm,21.4721mm,93.2727mm,T,225,LED
D10_49,D1608[0603]S,22.923mm,92.7424mm,22.923mm,92.7424mm,23.4533mm,93.2727mm,T,225,LED
D11_49,D1608[0603]S,24.9042mm,92.7424mm,24.9042mm,92.7424mm,25.4345mm,93.2727mm,T,225,LED
D12_49,D1608[0603]S,26.8854mm,92.7424mm,26.8854mm,92.7424mm,27.4157mm,93.2727mm,T,225,LED
D13_49,D1608[0603]S,28.8666mm,92.7424mm,28.8666mm,92.7424mm,29.3969mm,93.2727mm,T,225,LED
D14_49,D1608[0603]S,30.8478mm,92.7424mm,30.8478mm,92.7424mm,31.3781mm,93.2727mm,T,225,LED
D15_49,D1608[0603]S,32.829mm,92.7424mm,32.829mm,92.7424mm,33.3593mm,93.2727mm,T,225,LED
D16_49,D1608[0603]S,34.8102mm,92.7424mm,34.8102mm,92.7424mm,35.3405mm,93.2727mm,T,225,LED
D17_49,D1608[0603]S,36.7914mm,92.7424mm,36.7914mm,92.7424mm,37.3217mm,93.2727mm,T,225,LED
D18_49,D1608[0603]S,38.7726mm,92.7424mm,38.7726mm,92.7424mm,39.3029mm,93.2727mm,T,225,LED
D19_49,D1608[0603]S,40.7538mm,92.7424mm,40.7538mm,92.7424mm,41.2841mm,93.2727mm,T,225,LED
D20_49,D1608[0603]S,42.735mm,92.7424mm,42.735mm,92.7424mm,43.2653mm,93.2727mm,T,225,LED
D21_49,D1608[0603]S,44.7162mm,92.7424mm,44.7162mm,92.7424mm,45.2465mm,93.2727mm,T,225,LED
D22_49,D1608[0603]S,46.6974mm,92.7424mm,46.6974mm,92.7424mm,47.2277mm,93.2727mm,T,225,LED
D23_49,D1608[0603]S,48.6786mm,92.7424mm,48.6786mm,92.7424mm,49.2089mm,93.2727mm,T,225,LED
D24_49,D1608[0603]S,50.6598mm,92.7424mm,50.6598mm,92.7424mm,51.1901mm,93.2727mm,T,225,LED
D25_49,D1608[0603]S,52.641mm,92.7424mm,52.641mm,92.7424mm,53.1713mm,93.2727mm,T,225,LED
D26_49,D1608[0603]S,54.6222mm,92.7424mm,54.6222mm,92.7424mm,55.1525mm,93.2727mm,T,225,LED
D27_49,D1608[0603]S,56.6034mm,92.7424mm,56.6034mm,92.7424mm,57.1337mm,93.2727mm,T,225,LED
D28_49,D1608[0603]S,58.5846mm,92.7424mm,58.5846mm,92.7424mm,59.1149mm,93.2727mm,T,225,LED
D29_49,D1608[0603]S,60.5658mm,92.7424mm,60.5658mm,92.7424mm,61.0961mm,93.2727mm,T,225,LED
D30_49,D1608[0603]S,62.547mm,92.7424mm,62.547mm,92.7424mm,63.0773mm,93.2727mm,T,225,LED
D31_49,D1608[0603]S,64.5282mm,92.7424mm,64.5282mm,92.7424mm,65.0585mm,93.2727mm,T,225,LED
D32_49,D1608[0603]S,66.5094mm,92.7424mm,66.5094mm,92.7424mm,67.0397mm,93.2727mm,T,225,LED
D33_49,D1608[0603]S,68.4906mm,92.7424mm,68.4906mm,92.7424mm,69.0209mm,93.2727mm,T,225,LED
D34_49,D1608[0603]S,70.4718mm,92.7424mm,70.4718mm,92.7424mm,71.0021mm,93.2727mm,T,225,LED
D35_49,D1608[0603]S,72.453mm,92.7424mm,72.453mm,92.7424mm,72.9833mm,93.2727mm,T,225,LED
D36_49,D1608[0603]S,74.4342mm,92.7424mm,74.4342mm,92.7424mm,74.9645mm,93.2727mm,T,225,LED
D37_49,D1608[0603]S,76.4154mm,92.7424mm,76.4154mm,92.7424mm,76.9457mm,93.2727mm,T,225,LED
D38_49,D1608[0603]S,78.3966mm,92.7424mm,78.3966mm,92.7424mm,78.9269mm,93.2727mm,T,225,LED
D39_49,D1608[0603]S,80.3778mm,92.7424mm,80.3778mm,92.7424mm,80.9081mm,93.2727mm,T,225,LED
D40_49,D1608[0603]S,82.359mm,92.7424mm,82.359mm,92.7424mm,82.8893mm,93.2727mm,T,225,LED
D41_49,D1608[0603]S,84.3402mm,92.7424mm,84.3402mm,92.7424mm,84.8705mm,93.2727mm,T,225,LED
D42_49,D1608[0603]S,86.3214mm,92.7424mm,86.3214mm,92.7424mm,86.8517mm,93.2727mm,T,225,LED
D43_49,D1608[0603]S,88.3026mm,92.7424mm,88.3026mm,92.7424mm,88.8329mm,93.2727mm,T,225,LED
D44_49,D1608[0603]S,90.2838mm,92.7424mm,90.2838mm,92.7424mm,90.8141mm,93.2727mm,T,225,LED
D45_49,D1608[0603]S,92.265mm,92.7424mm,92.265mm,92.7424mm,92.7953mm,93.2727mm,T,225,LED
D46_49,D1608[0603]S,94.2462mm,92.7424mm,94.2462mm,92.7424mm,94.7765mm,93.2727mm,T,225,LED
D47_49,D1608[0603]S,96.2274mm,92.7424mm,96.2274mm,92.7424mm,96.7577mm,93.2727mm,T,225,LED
D48_49,D1608[0603]S,98.2086mm,92.7424mm,98.2086mm,92.7424mm,98.7389mm,93.2727mm,T,225,LED
D49_49,D1608[0603]S,100.1898mm,92.7424mm,100.1898mm,92.7424mm,100.7201mm,93.2727mm,T,225,LED
D50_49,D1608[0603]S,102.171mm,92.7424mm,102.171mm,92.7424mm,102.7013mm,93.2727mm,T,225,LED
D51_49,D1608[0603]S,104.1522mm,92.7424mm,104.1522mm,92.7424mm,104.6825mm,93.2727mm,T,225,LED
D52_49,D1608[0603]S,106.1334mm,92.7424mm,106.1334mm,92.7424mm,106.6637mm,93.2727mm,T,225,LED
D53_49,D1608[0603]S,108.1146mm,92.7424mm,108.1146mm,92.7424mm,108.6449mm,93.2727mm,T,225,LED
D54_49,D1608[0603]S,110.0958mm,92.7424mm,110.0958mm,92.7424mm,110.6261mm,93.2727mm,T,225,LED
D55_49,D1608[0603]S,112.077mm,92.7424mm,112.077mm,92.7424mm,112.6073mm,93.2727mm,T,225,LED
D56_49,D1608[0603]S,114.0582mm,92.7424mm,114.0582mm,92.7424mm,114.5885mm,93.2727mm,T,225,LED
D57_49,D1608[0603]S,116.0394mm,92.7424mm,116.0394mm,92.7424mm,116.5697mm,93.2727mm,T,225,LED
D58_49,D1608[0603]S,118.0206mm,92.7424mm,118.0206mm,92.7424mm,118.5509mm,93.2727mm,T,225,LED
D59_49,D1608[0603]S,120.0018mm,92.7424mm,120.0018mm,92.7424mm,120.5321mm,93.2727mm,T,225,LED
D60_49,D1608[0603]S,121.983mm,92.7424mm,121.983mm,92.7424mm,122.5133mm,93.2727mm,T,225,LED
D61_49,D1608[0603]S,123.9642mm,92.7424mm,123.9642mm,92.7424mm,124.4945mm,93.2727mm,T,225,LED
D62_49,D1608[0603]S,125.9454mm,92.7424mm,125.9454mm,92.7424mm,126.4757mm,93.2727mm,T,225,LED
D63_49,D1608[0603]S,127.9266mm,92.7424mm,127.9266mm,92.7424mm,128.4569mm,93.2727mm,T,225,LED
D64_49,D1608[0603]S,129.9078mm,92.7424mm,129.9078mm,92.7424mm,130.4381mm,93.2727mm,T,225,LED
D1_48,D1608[0603]S,5.0922mm,94.7236mm,5.0922mm,94.7236mm,5.6225mm,95.2539mm,T,225,LED
D2_48,D1608[0603]S,7.0734mm,94.7236mm,7.0734mm,94.7236mm,7.6037mm,95.2539mm,T,225,LED
D3_48,D1608[0603]S,9.0546mm,94.7236mm,9.0546mm,94.7236mm,9.5849mm,95.2539mm,T,225,LED
D4_48,D1608[0603]S,11.0358mm,94.7236mm,11.0358mm,94.7236mm,11.5661mm,95.2539mm,T,225,LED
D5_48,D1608[0603]S,13.017mm,94.7236mm,13.017mm,94.7236mm,13.5473mm,95.2539mm,T,225,LED
D6_48,D1608[0603]S,14.9982mm,94.7236mm,14.9982mm,94.7236mm,15.5285mm,95.2539mm,T,225,LED
D7_48,D1608[0603]S,16.9794mm,94.7236mm,16.9794mm,94.7236mm,17.5097mm,95.2539mm,T,225,LED
D8_48,D1608[0603]S,18.9606mm,94.7236mm,18.9606mm,94.7236mm,19.4909mm,95.2539mm,T,225,LED
D9_48,D1608[0603]S,20.9418mm,94.7236mm,20.9418mm,94.7236mm,21.4721mm,95.2539mm,T,225,LED
D10_48,D1608[0603]S,22.923mm,94.7236mm,22.923mm,94.7236mm,23.4533mm,95.2539mm,T,225,LED
D11_48,D1608[0603]S,24.9042mm,94.7236mm,24.9042mm,94.7236mm,25.4345mm,95.2539mm,T,225,LED
D12_48,D1608[0603]S,26.8854mm,94.7236mm,26.8854mm,94.7236mm,27.4157mm,95.2539mm,T,225,LED
D13_48,D1608[0603]S,28.8666mm,94.7236mm,28.8666mm,94.7236mm,29.3969mm,95.2539mm,T,225,LED
D14_48,D1608[0603]S,30.8478mm,94.7236mm,30.8478mm,94.7236mm,31.3781mm,95.2539mm,T,225,LED
D15_48,D1608[0603]S,32.829mm,94.7236mm,32.829mm,94.7236mm,33.3593mm,95.2539mm,T,225,LED
D16_48,D1608[0603]S,34.8102mm,94.7236mm,34.8102mm,94.7236mm,35.3405mm,95.2539mm,T,225,LED
D17_48,D1608[0603]S,36.7914mm,94.7236mm,36.7914mm,94.7236mm,37.3217mm,95.2539mm,T,225,LED
D18_48,D1608[0603]S,38.7726mm,94.7236mm,38.7726mm,94.7236mm,39.3029mm,95.2539mm,T,225,LED
D19_48,D1608[0603]S,40.7538mm,94.7236mm,40.7538mm,94.7236mm,41.2841mm,95.2539mm,T,225,LED
D20_48,D1608[0603]S,42.735mm,94.7236mm,42.735mm,94.7236mm,43.2653mm,95.2539mm,T,225,LED
D21_48,D1608[0603]S,44.7162mm,94.7236mm,44.7162mm,94.7236mm,45.2465mm,95.2539mm,T,225,LED
D22_48,D1608[0603]S,46.6974mm,94.7236mm,46.6974mm,94.7236mm,47.2277mm,95.2539mm,T,225,LED
D23_48,D1608[0603]S,48.6786mm,94.7236mm,48.6786mm,94.7236mm,49.2089mm,95.2539mm,T,225,LED
D24_48,D1608[0603]S,50.6598mm,94.7236mm,50.6598mm,94.7236mm,51.1901mm,95.2539mm,T,225,LED
D25_48,D1608[0603]S,52.641mm,94.7236mm,52.641mm,94.7236mm,53.1713mm,95.2539mm,T,225,LED
D26_48,D1608[0603]S,54.6222mm,94.7236mm,54.6222mm,94.7236mm,55.1525mm,95.2539mm,T,225,LED
D27_48,D1608[0603]S,56.6034mm,94.7236mm,56.6034mm,94.7236mm,57.1337mm,95.2539mm,T,225,LED
D28_48,D1608[0603]S,58.5846mm,94.7236mm,58.5846mm,94.7236mm,59.1149mm,95.2539mm,T,225,LED
D29_48,D1608[0603]S,60.5658mm,94.7236mm,60.5658mm,94.7236mm,61.0961mm,95.2539mm,T,225,LED
D30_48,D1608[0603]S,62.547mm,94.7236mm,62.547mm,94.7236mm,63.0773mm,95.2539mm,T,225,LED
D31_48,D1608[0603]S,64.5282mm,94.7236mm,64.5282mm,94.7236mm,65.0585mm,95.2539mm,T,225,LED
D32_48,D1608[0603]S,66.5094mm,94.7236mm,66.5094mm,94.7236mm,67.0397mm,95.2539mm,T,225,LED
D33_48,D1608[0603]S,68.4906mm,94.7236mm,68.4906mm,94.7236mm,69.0209mm,95.2539mm,T,225,LED
D34_48,D1608[0603]S,70.4718mm,94.7236mm,70.4718mm,94.7236mm,71.0021mm,95.2539mm,T,225,LED
D35_48,D1608[0603]S,72.453mm,94.7236mm,72.453mm,94.7236mm,72.9833mm,95.2539mm,T,225,LED
D36_48,D1608[0603]S,74.4342mm,94.7236mm,74.4342mm,94.7236mm,74.9645mm,95.2539mm,T,225,LED
D37_48,D1608[0603]S,76.4154mm,94.7236mm,76.4154mm,94.7236mm,76.9457mm,95.2539mm,T,225,LED
D38_48,D1608[0603]S,78.3966mm,94.7236mm,78.3966mm,94.7236mm,78.9269mm,95.2539mm,T,225,LED
D39_48,D1608[0603]S,80.3778mm,94.7236mm,80.3778mm,94.7236mm,80.9081mm,95.2539mm,T,225,LED
D40_48,D1608[0603]S,82.359mm,94.7236mm,82.359mm,94.7236mm,82.8893mm,95.2539mm,T,225,LED
D41_48,D1608[0603]S,84.3402mm,94.7236mm,84.3402mm,94.7236mm,84.8705mm,95.2539mm,T,225,LED
D42_48,D1608[0603]S,86.3214mm,94.7236mm,86.3214mm,94.7236mm,86.8517mm,95.2539mm,T,225,LED
D43_48,D1608[0603]S,88.3026mm,94.7236mm,88.3026mm,94.7236mm,88.8329mm,95.2539mm,T,225,LED
D44_48,D1608[0603]S,90.2838mm,94.7236mm,90.2838mm,94.7236mm,90.8141mm,95.2539mm,T,225,LED
D45_48,D1608[0603]S,92.265mm,94.7236mm,92.265mm,94.7236mm,92.7953mm,95.2539mm,T,225,LED
D46_48,D1608[0603]S,94.2462mm,94.7236mm,94.2462mm,94.7236mm,94.7765mm,95.2539mm,T,225,LED
D47_48,D1608[0603]S,96.2274mm,94.7236mm,96.2274mm,94.7236mm,96.7577mm,95.2539mm,T,225,LED
D48_48,D1608[0603]S,98.2086mm,94.7236mm,98.2086mm,94.7236mm,98.7389mm,95.2539mm,T,225,LED
D49_48,D1608[0603]S,100.1898mm,94.7236mm,100.1898mm,94.7236mm,100.7201mm,95.2539mm,T,225,LED
D50_48,D1608[0603]S,102.171mm,94.7236mm,102.171mm,94.7236mm,102.7013mm,95.2539mm,T,225,LED
D51_48,D1608[0603]S,104.1522mm,94.7236mm,104.1522mm,94.7236mm,104.6825mm,95.2539mm,T,225,LED
D52_48,D1608[0603]S,106.1334mm,94.7236mm,106.1334mm,94.7236mm,106.6637mm,95.2539mm,T,225,LED
D53_48,D1608[0603]S,108.1146mm,94.7236mm,108.1146mm,94.7236mm,108.6449mm,95.2539mm,T,225,LED
D54_48,D1608[0603]S,110.0958mm,94.7236mm,110.0958mm,94.7236mm,110.6261mm,95.2539mm,T,225,LED
D55_48,D1608[0603]S,112.077mm,94.7236mm,112.077mm,94.7236mm,112.6073mm,95.2539mm,T,225,LED
D56_48,D1608[0603]S,114.0582mm,94.7236mm,114.0582mm,94.7236mm,114.5885mm,95.2539mm,T,225,LED
D57_48,D1608[0603]S,116.0394mm,94.7236mm,116.0394mm,94.7236mm,116.5697mm,95.2539mm,T,225,LED
D58_48,D1608[0603]S,118.0206mm,94.7236mm,118.0206mm,94.7236mm,118.5509mm,95.2539mm,T,225,LED
D59_48,D1608[0603]S,120.0018mm,94.7236mm,120.0018mm,94.7236mm,120.5321mm,95.2539mm,T,225,LED
D60_48,D1608[0603]S,121.983mm,94.7236mm,121.983mm,94.7236mm,122.5133mm,95.2539mm,T,225,LED
D61_48,D1608[0603]S,123.9642mm,94.7236mm,123.9642mm,94.7236mm,124.4945mm,95.2539mm,T,225,LED
D62_48,D1608[0603]S,125.9454mm,94.7236mm,125.9454mm,94.7236mm,126.4757mm,95.2539mm,T,225,LED
D63_48,D1608[0603]S,127.9266mm,94.7236mm,127.9266mm,94.7236mm,128.4569mm,95.2539mm,T,225,LED
D64_48,D1608[0603]S,129.9078mm,94.7236mm,129.9078mm,94.7236mm,130.4381mm,95.2539mm,T,225,LED
D1_47,D1608[0603]S,5.0922mm,96.7048mm,5.0922mm,96.7048mm,5.6225mm,97.2351mm,T,225,LED
D2_47,D1608[0603]S,7.0734mm,96.7048mm,7.0734mm,96.7048mm,7.6037mm,97.2351mm,T,225,LED
D3_47,D1608[0603]S,9.0546mm,96.7048mm,9.0546mm,96.7048mm,9.5849mm,97.2351mm,T,225,LED
D4_47,D1608[0603]S,11.0358mm,96.7048mm,11.0358mm,96.7048mm,11.5661mm,97.2351mm,T,225,LED
D5_47,D1608[0603]S,13.017mm,96.7048mm,13.017mm,96.7048mm,13.5473mm,97.2351mm,T,225,LED
D6_47,D1608[0603]S,14.9982mm,96.7048mm,14.9982mm,96.7048mm,15.5285mm,97.2351mm,T,225,LED
D7_47,D1608[0603]S,16.9794mm,96.7048mm,16.9794mm,96.7048mm,17.5097mm,97.2351mm,T,225,LED
D8_47,D1608[0603]S,18.9606mm,96.7048mm,18.9606mm,96.7048mm,19.4909mm,97.2351mm,T,225,LED
D9_47,D1608[0603]S,20.9418mm,96.7048mm,20.9418mm,96.7048mm,21.4721mm,97.2351mm,T,225,LED
D10_47,D1608[0603]S,22.923mm,96.7048mm,22.923mm,96.7048mm,23.4533mm,97.2351mm,T,225,LED
D11_47,D1608[0603]S,24.9042mm,96.7048mm,24.9042mm,96.7048mm,25.4345mm,97.2351mm,T,225,LED
D12_47,D1608[0603]S,26.8854mm,96.7048mm,26.8854mm,96.7048mm,27.4157mm,97.2351mm,T,225,LED
D13_47,D1608[0603]S,28.8666mm,96.7048mm,28.8666mm,96.7048mm,29.3969mm,97.2351mm,T,225,LED
D14_47,D1608[0603]S,30.8478mm,96.7048mm,30.8478mm,96.7048mm,31.3781mm,97.2351mm,T,225,LED
D15_47,D1608[0603]S,32.829mm,96.7048mm,32.829mm,96.7048mm,33.3593mm,97.2351mm,T,225,LED
D16_47,D1608[0603]S,34.8102mm,96.7048mm,34.8102mm,96.7048mm,35.3405mm,97.2351mm,T,225,LED
D17_47,D1608[0603]S,36.7914mm,96.7048mm,36.7914mm,96.7048mm,37.3217mm,97.2351mm,T,225,LED
D18_47,D1608[0603]S,38.7726mm,96.7048mm,38.7726mm,96.7048mm,39.3029mm,97.2351mm,T,225,LED
D19_47,D1608[0603]S,40.7538mm,96.7048mm,40.7538mm,96.7048mm,41.2841mm,97.2351mm,T,225,LED
D20_47,D1608[0603]S,42.735mm,96.7048mm,42.735mm,96.7048mm,43.2653mm,97.2351mm,T,225,LED
D21_47,D1608[0603]S,44.7162mm,96.7048mm,44.7162mm,96.7048mm,45.2465mm,97.2351mm,T,225,LED
D22_47,D1608[0603]S,46.6974mm,96.7048mm,46.6974mm,96.7048mm,47.2277mm,97.2351mm,T,225,LED
D23_47,D1608[0603]S,48.6786mm,96.7048mm,48.6786mm,96.7048mm,49.2089mm,97.2351mm,T,225,LED
D24_47,D1608[0603]S,50.6598mm,96.7048mm,50.6598mm,96.7048mm,51.1901mm,97.2351mm,T,225,LED
D25_47,D1608[0603]S,52.641mm,96.7048mm,52.641mm,96.7048mm,53.1713mm,97.2351mm,T,225,LED
D26_47,D1608[0603]S,54.6222mm,96.7048mm,54.6222mm,96.7048mm,55.1525mm,97.2351mm,T,225,LED
D27_47,D1608[0603]S,56.6034mm,96.7048mm,56.6034mm,96.7048mm,57.1337mm,97.2351mm,T,225,LED
D28_47,D1608[0603]S,58.5846mm,96.7048mm,58.5846mm,96.7048mm,59.1149mm,97.2351mm,T,225,LED
D29_47,D1608[0603]S,60.5658mm,96.7048mm,60.5658mm,96.7048mm,61.0961mm,97.2351mm,T,225,LED
D30_47,D1608[0603]S,62.547mm,96.7048mm,62.547mm,96.7048mm,63.0773mm,97.2351mm,T,225,LED
D31_47,D1608[0603]S,64.5282mm,96.7048mm,64.5282mm,96.7048mm,65.0585mm,97.2351mm,T,225,LED
D32_47,D1608[0603]S,66.5094mm,96.7048mm,66.5094mm,96.7048mm,67.0397mm,97.2351mm,T,225,LED
D33_47,D1608[0603]S,68.4906mm,96.7048mm,68.4906mm,96.7048mm,69.0209mm,97.2351mm,T,225,LED
D34_47,D1608[0603]S,70.4718mm,96.7048mm,70.4718mm,96.7048mm,71.0021mm,97.2351mm,T,225,LED
D35_47,D1608[0603]S,72.453mm,96.7048mm,72.453mm,96.7048mm,72.9833mm,97.2351mm,T,225,LED
D36_47,D1608[0603]S,74.4342mm,96.7048mm,74.4342mm,96.7048mm,74.9645mm,97.2351mm,T,225,LED
D37_47,D1608[0603]S,76.4154mm,96.7048mm,76.4154mm,96.7048mm,76.9457mm,97.2351mm,T,225,LED
D38_47,D1608[0603]S,78.3966mm,96.7048mm,78.3966mm,96.7048mm,78.9269mm,97.2351mm,T,225,LED
D39_47,D1608[0603]S,80.3778mm,96.7048mm,80.3778mm,96.7048mm,80.9081mm,97.2351mm,T,225,LED
D40_47,D1608[0603]S,82.359mm,96.7048mm,82.359mm,96.7048mm,82.8893mm,97.2351mm,T,225,LED
D41_47,D1608[0603]S,84.3402mm,96.7048mm,84.3402mm,96.7048mm,84.8705mm,97.2351mm,T,225,LED
D42_47,D1608[0603]S,86.3214mm,96.7048mm,86.3214mm,96.7048mm,86.8517mm,97.2351mm,T,225,LED
D43_47,D1608[0603]S,88.3026mm,96.7048mm,88.3026mm,96.7048mm,88.8329mm,97.2351mm,T,225,LED
D44_47,D1608[0603]S,90.2838mm,96.7048mm,90.2838mm,96.7048mm,90.8141mm,97.2351mm,T,225,LED
D45_47,D1608[0603]S,92.265mm,96.7048mm,92.265mm,96.7048mm,92.7953mm,97.2351mm,T,225,LED
D46_47,D1608[0603]S,94.2462mm,96.7048mm,94.2462mm,96.7048mm,94.7765mm,97.2351mm,T,225,LED
D47_47,D1608[0603]S,96.2274mm,96.7048mm,96.2274mm,96.7048mm,96.7577mm,97.2351mm,T,225,LED
D48_47,D1608[0603]S,98.2086mm,96.7048mm,98.2086mm,96.7048mm,98.7389mm,97.2351mm,T,225,LED
D49_47,D1608[0603]S,100.1898mm,96.7048mm,100.1898mm,96.7048mm,100.7201mm,97.2351mm,T,225,LED
D50_47,D1608[0603]S,102.171mm,96.7048mm,102.171mm,96.7048mm,102.7013mm,97.2351mm,T,225,LED
D51_47,D1608[0603]S,104.1522mm,96.7048mm,104.1522mm,96.7048mm,104.6825mm,97.2351mm,T,225,LED
D52_47,D1608[0603]S,106.1334mm,96.7048mm,106.1334mm,96.7048mm,106.6637mm,97.2351mm,T,225,LED
D53_47,D1608[0603]S,108.1146mm,96.7048mm,108.1146mm,96.7048mm,108.6449mm,97.2351mm,T,225,LED
D54_47,D1608[0603]S,110.0958mm,96.7048mm,110.0958mm,96.7048mm,110.6261mm,97.2351mm,T,225,LED
D55_47,D1608[0603]S,112.077mm,96.7048mm,112.077mm,96.7048mm,112.6073mm,97.2351mm,T,225,LED
D56_47,D1608[0603]S,114.0582mm,96.7048mm,114.0582mm,96.7048mm,114.5885mm,97.2351mm,T,225,LED
D57_47,D1608[0603]S,116.0394mm,96.7048mm,116.0394mm,96.7048mm,116.5697mm,97.2351mm,T,225,LED
D58_47,D1608[0603]S,118.0206mm,96.7048mm,118.0206mm,96.7048mm,118.5509mm,97.2351mm,T,225,LED
D59_47,D1608[0603]S,120.0018mm,96.7048mm,120.0018mm,96.7048mm,120.5321mm,97.2351mm,T,225,LED
D60_47,D1608[0603]S,121.983mm,96.7048mm,121.983mm,96.7048mm,122.5133mm,97.2351mm,T,225,LED
D61_47,D1608[0603]S,123.9642mm,96.7048mm,123.9642mm,96.7048mm,124.4945mm,97.2351mm,T,225,LED
D62_47,D1608[0603]S,125.9454mm,96.7048mm,125.9454mm,96.7048mm,126.4757mm,97.2351mm,T,225,LED
D63_47,D1608[0603]S,127.9266mm,96.7048mm,127.9266mm,96.7048mm,128.4569mm,97.2351mm,T,225,LED
D64_47,D1608[0603]S,129.9078mm,96.7048mm,129.9078mm,96.7048mm,130.4381mm,97.2351mm,T,225,LED
D1_46,D1608[0603]S,5.0922mm,98.686mm,5.0922mm,98.686mm,5.6225mm,99.2163mm,T,225,LED
D2_46,D1608[0603]S,7.0734mm,98.686mm,7.0734mm,98.686mm,7.6037mm,99.2163mm,T,225,LED
D3_46,D1608[0603]S,9.0546mm,98.686mm,9.0546mm,98.686mm,9.5849mm,99.2163mm,T,225,LED
D4_46,D1608[0603]S,11.0358mm,98.686mm,11.0358mm,98.686mm,11.5661mm,99.2163mm,T,225,LED
D5_46,D1608[0603]S,13.017mm,98.686mm,13.017mm,98.686mm,13.5473mm,99.2163mm,T,225,LED
D6_46,D1608[0603]S,14.9982mm,98.686mm,14.9982mm,98.686mm,15.5285mm,99.2163mm,T,225,LED
D7_46,D1608[0603]S,16.9794mm,98.686mm,16.9794mm,98.686mm,17.5097mm,99.2163mm,T,225,LED
D8_46,D1608[0603]S,18.9606mm,98.686mm,18.9606mm,98.686mm,19.4909mm,99.2163mm,T,225,LED
D9_46,D1608[0603]S,20.9418mm,98.686mm,20.9418mm,98.686mm,21.4721mm,99.2163mm,T,225,LED
D10_46,D1608[0603]S,22.923mm,98.686mm,22.923mm,98.686mm,23.4533mm,99.2163mm,T,225,LED
D11_46,D1608[0603]S,24.9042mm,98.686mm,24.9042mm,98.686mm,25.4345mm,99.2163mm,T,225,LED
D12_46,D1608[0603]S,26.8854mm,98.686mm,26.8854mm,98.686mm,27.4157mm,99.2163mm,T,225,LED
D13_46,D1608[0603]S,28.8666mm,98.686mm,28.8666mm,98.686mm,29.3969mm,99.2163mm,T,225,LED
D14_46,D1608[0603]S,30.8478mm,98.686mm,30.8478mm,98.686mm,31.3781mm,99.2163mm,T,225,LED
D15_46,D1608[0603]S,32.829mm,98.686mm,32.829mm,98.686mm,33.3593mm,99.2163mm,T,225,LED
D16_46,D1608[0603]S,34.8102mm,98.686mm,34.8102mm,98.686mm,35.3405mm,99.2163mm,T,225,LED
D17_46,D1608[0603]S,36.7914mm,98.686mm,36.7914mm,98.686mm,37.3217mm,99.2163mm,T,225,LED
D18_46,D1608[0603]S,38.7726mm,98.686mm,38.7726mm,98.686mm,39.3029mm,99.2163mm,T,225,LED
D19_46,D1608[0603]S,40.7538mm,98.686mm,40.7538mm,98.686mm,41.2841mm,99.2163mm,T,225,LED
D20_46,D1608[0603]S,42.735mm,98.686mm,42.735mm,98.686mm,43.2653mm,99.2163mm,T,225,LED
